timestep	knowledgeState	regulate	budgetRatio	selfQuarantine	shockSize	shockCount	failedBanks	lostCapacity	assortativity	totalCapacity	capacityMultiplier	shockMultiplier	selfQuarantineCostMultiplier
4	perfect	noRegulate	0.75	quarantine	50	23	63	0.1469	-0.1953	1130	0.75	0.75	1.0
10	perfect	noRegulate	0.75	quarantine	50	17	62	0.192	-0.1953	1130	0.75	0.75	1.0
6	perfect	noRegulate	0.75	quarantine	50	7	56	0.1531	-0.1953	1130	0.75	0.75	1.0
7	perfect	noRegulate	0.75	quarantine	50	15	56	0.1549	-0.1953	1130	0.75	0.75	1.0
5	perfect	noRegulate	0.75	quarantine	50	19	64	0.1726	-0.1953	1130	0.75	0.75	1.0
6	perfect	noRegulate	0.75	quarantine	50	16	55	0.1504	-0.1953	1130	0.75	0.75	1.0
7	perfect	noRegulate	0.75	quarantine	50	15	58	0.1619	-0.1953	1130	0.75	0.75	1.0
7	perfect	noRegulate	0.75	quarantine	50	22	62	0.1398	-0.1953	1130	0.75	0.75	1.0
9	perfect	noRegulate	0.75	quarantine	50	16	65	0.1513	-0.1953	1130	0.75	0.75	1.0
5	perfect	noRegulate	0.75	quarantine	50	22	65	0.1619	-0.1953	1130	0.75	0.75	1.0
6	perfect	noRegulate	0.75	quarantine	50	15	62	0.1611	-0.1953	1130	0.75	0.75	1.0
10	perfect	noRegulate	0.75	quarantine	50	17	66	0.1805	-0.1953	1130	0.75	0.75	1.0
6	perfect	noRegulate	0.75	quarantine	50	20	64	0.1735	-0.1953	1130	0.75	0.75	1.0
6	perfect	noRegulate	0.75	quarantine	50	8	53	0.1469	-0.1953	1130	0.75	0.75	1.0
6	perfect	noRegulate	0.75	quarantine	50	18	57	0.1221	-0.1953	1130	0.75	0.75	1.0
6	perfect	noRegulate	0.75	quarantine	50	20	61	0.1558	-0.1953	1130	0.75	0.75	1.0
7	perfect	noRegulate	0.75	quarantine	50	12	55	0.1265	-0.1953	1130	0.75	0.75	1.0
8	perfect	noRegulate	0.75	quarantine	50	14	58	0.1584	-0.1953	1130	0.75	0.75	1.0
8	perfect	noRegulate	0.75	quarantine	50	16	63	0.1708	-0.1953	1130	0.75	0.75	1.0
10	perfect	noRegulate	0.75	quarantine	50	18	69	0.1708	-0.1953	1130	0.75	0.75	1.0
6	perfect	noRegulate	0.75	quarantine	50	18	66	0.1434	-0.1953	1130	0.75	0.75	1.0
4	perfect	noRegulate	0.75	quarantine	50	12	46	0.1018	-0.1953	1130	0.75	0.75	1.0
4	perfect	noRegulate	0.75	quarantine	50	10	50	0.1354	-0.1953	1130	0.75	0.75	1.0
7	perfect	noRegulate	0.75	quarantine	50	14	57	0.1664	-0.1953	1130	0.75	0.75	1.0
6	perfect	noRegulate	0.75	quarantine	50	13	57	0.1522	-0.1953	1130	0.75	0.75	1.0
6	perfect	noRegulate	0.75	quarantine	50	20	64	0.1566	-0.1953	1130	0.75	0.75	1.0
5	perfect	noRegulate	0.75	quarantine	50	16	52	0.1363	-0.1953	1130	0.75	0.75	1.0
6	perfect	noRegulate	0.75	quarantine	50	16	63	0.1496	-0.1953	1130	0.75	0.75	1.0
8	perfect	noRegulate	0.75	quarantine	50	13	64	0.1646	-0.1953	1130	0.75	0.75	1.0
5	perfect	noRegulate	0.75	quarantine	50	10	50	0.1257	-0.1953	1130	0.75	0.75	1.0
10	perfect	noRegulate	0.75	quarantine	50	13	65	0.1858	-0.1953	1130	0.75	0.75	1.0
5	perfect	noRegulate	0.75	quarantine	50	12	55	0.1513	-0.1953	1130	0.75	0.75	1.0
8	perfect	noRegulate	0.75	quarantine	50	23	74	0.1885	-0.1953	1130	0.75	0.75	1.0
4	perfect	noRegulate	0.75	quarantine	50	19	61	0.1381	-0.1953	1130	0.75	0.75	1.0
8	perfect	noRegulate	0.75	quarantine	50	16	63	0.1814	-0.1953	1130	0.75	0.75	1.0
7	perfect	noRegulate	0.75	quarantine	50	12	58	0.1549	-0.1953	1130	0.75	0.75	1.0
8	perfect	noRegulate	0.75	quarantine	50	14	59	0.1885	-0.1953	1130	0.75	0.75	1.0
7	perfect	noRegulate	0.75	quarantine	50	19	64	0.1628	-0.1953	1130	0.75	0.75	1.0
9	perfect	noRegulate	0.75	quarantine	50	23	71	0.1611	-0.1953	1130	0.75	0.75	1.0
8	perfect	noRegulate	0.75	quarantine	50	20	70	0.1717	-0.1953	1130	0.75	0.75	1.0
9	perfect	noRegulate	0.75	quarantine	50	15	62	0.1779	-0.1953	1130	0.75	0.75	1.0
6	perfect	noRegulate	0.75	quarantine	50	19	63	0.1646	-0.1953	1130	0.75	0.75	1.0
10	perfect	noRegulate	0.75	quarantine	50	15	64	0.1814	-0.1953	1130	0.75	0.75	1.0
6	perfect	noRegulate	0.75	quarantine	50	12	52	0.1478	-0.1953	1130	0.75	0.75	1.0
9	perfect	noRegulate	0.75	quarantine	50	15	66	0.1956	-0.1953	1130	0.75	0.75	1.0
6	perfect	noRegulate	0.75	quarantine	50	20	63	0.1363	-0.1953	1130	0.75	0.75	1.0
7	perfect	noRegulate	0.75	quarantine	50	10	56	0.1619	-0.1953	1130	0.75	0.75	1.0
7	perfect	noRegulate	0.75	quarantine	50	15	54	0.1611	-0.1953	1130	0.75	0.75	1.0
8	perfect	noRegulate	0.75	quarantine	50	10	62	0.1779	-0.
